,executors,structure_type,function,dataset_size,std_percentage
94,2,sorted-asc_bucketed_80,union,10000,0.020250853376572286
95,2,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.027792098807820676
96,2,sorted-asc_bucketed_20,exploding,10000000,0.0030026895539054486
97,2,sorted-asc_bucketed_20,union,10000000,0.0017318843959375294
98,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0029756994317148883
99,2,sorted-asc_bucketed_20,exploding,100000,0.06945853763174158
100,2,sorted-asc_bucketed_20,union,100000,0.041852876322757006
101,2,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.06904974907802679
102,2,sorted-asc_bucketed_20,exploding,1000000,0.04730082025353647
103,2,sorted-asc_bucketed_20,union,1000000,0.005086945826942586
104,2,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.00833445876441603
105,2,sorted-asc_bucketed_20,exploding,10000,0.07130929447144171
106,2,sorted-asc_bucketed_20,union,10000,0.03318333766640795
107,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.08979887315805878
108,2,sorted-desc,exploding,10000000,0.002431146515512367
109,2,sorted-desc,union,10000000,0.0018956402818125207
110,2,sorted-desc,earlyStopSortMerge,10000000,0.0030083030833216516
111,2,sorted-desc,exploding,100000,0.01953982345316094
112,2,sorted-desc,union,100000,0.016905539292791708
113,2,sorted-desc,earlyStopSortMerge,100000,0.016539789490269192
114,2,sorted-desc,exploding,1000000,0.010120789291682197
115,2,sorted-desc,union,1000000,0.010277553851306355
116,2,sorted-desc,earlyStopSortMerge,1000000,0.008476932848267955
117,2,sorted-desc,exploding,10000,0.04806885368526041
118,2,sorted-desc,union,10000,0.027896248709127942
119,2,sorted-desc,earlyStopSortMerge,10000,0.02513598077594579
120,2,sorted-asc_bucketed_40,exploding,10000000,0.002666768234601276
121,2,sorted-asc_bucketed_40,union,10000000,0.000995763579903181
122,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.006096339641739286
123,2,sorted-asc_bucketed_40,exploding,100000,0.04930136278903228
124,2,sorted-asc_bucketed_40,union,100000,0.02197295661476644
125,2,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.04647886752936456
126,2,sorted-asc_bucketed_40,exploding,1000000,0.004875894181805298
127,2,sorted-asc_bucketed_40,union,1000000,0.007641000561408582
128,2,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.005995747829436697
129,2,sorted-asc_bucketed_40,exploding,10000,0.08252074448729642
130,2,sorted-asc_bucketed_40,union,10000,0.02184754225686583
131,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.04258616356796731
132,2,sorted-rand,exploding,10000000,0.0018278068066618029
133,2,sorted-rand,union,10000000,0.0014611647419828214
134,2,sorted-rand,earlyStopSortMerge,10000000,0.007715606782168894
135,2,sorted-rand,exploding,100000,0.022285180776008006
136,2,sorted-rand,union,100000,0.015809385746669437
137,2,sorted-rand,earlyStopSortMerge,100000,0.012691042498872382
138,2,sorted-rand,exploding,1000000,0.006572226186618603
139,2,sorted-rand,union,1000000,0.0068515576865345595
140,2,sorted-rand,earlyStopSortMerge,1000000,0.008676139784535077
141,2,sorted-rand,exploding,10000,0.03410729259892708
142,2,sorted-rand,union,10000,0.03163551240120741
143,2,sorted-rand,earlyStopSortMerge,10000,0.023131017343012986
144,2,sorted-asc,exploding,10000000,0.0032120980924981034
145,2,sorted-asc,union,10000000,0.002159652172945159
146,2,sorted-asc,earlyStopSortMerge,10000000,0.0020120299598064685
147,2,sorted-asc,exploding,100000,0.029209971907596485
148,2,sorted-asc,union,100000,0.032516052062202726
149,2,sorted-asc,earlyStopSortMerge,100000,0.04773186805602556
150,2,sorted-asc,exploding,1000000,0.01024447757379102
151,2,sorted-asc,union,1000000,0.009781824184787144
152,2,sorted-asc,earlyStopSortMerge,1000000,0.012525436483187628
153,2,sorted-asc,exploding,10000,0.23450860143739005
154,2,sorted-asc,union,10000,0.08412517082844963
155,2,sorted-asc,earlyStopSortMerge,10000,0.07894714731551371
156,2,sorted-asc_bucketed_160,exploding,10000000,0.003430377194783125
157,2,sorted-asc_bucketed_160,union,10000000,0.002717180533218018
158,2,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.004358630683088918
159,2,sorted-asc_bucketed_160,exploding,100000,0.029987345437005927
160,2,sorted-asc_bucketed_160,union,100000,0.014734502680878956
161,2,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.025785850920429104
