,executors,structure_type,function,dataset_size,std_percentage
94,2,sorted-asc_bucketed_80,union,10000,0.023875224232605376
95,2,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.07709420094616388
96,2,sorted-asc_bucketed_20,exploding,10000000,0.004873858279554227
97,2,sorted-asc_bucketed_20,union,10000000,0.005283511402344145
98,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.006458048401942819
99,2,sorted-asc_bucketed_20,exploding,100000,0.08395297738063161
100,2,sorted-asc_bucketed_20,union,100000,0.043823034090386084
101,2,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.06758664574485442
102,2,sorted-asc_bucketed_20,exploding,1000000,0.04792265107338396
103,2,sorted-asc_bucketed_20,union,1000000,0.005674828384258912
104,2,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.008964068786811323
105,2,sorted-asc_bucketed_20,exploding,10000,0.24096574163133103
106,2,sorted-asc_bucketed_20,union,10000,0.04679824089846257
107,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.41761387734914296
108,2,sorted-desc,exploding,10000000,0.002584929435334882
109,2,sorted-desc,union,10000000,0.0025781186213591537
110,2,sorted-desc,earlyStopSortMerge,10000000,0.003846595251643142
111,2,sorted-desc,exploding,100000,0.023024248896818245
112,2,sorted-desc,union,100000,0.01703837383056187
113,2,sorted-desc,earlyStopSortMerge,100000,0.014802825616320108
114,2,sorted-desc,exploding,1000000,0.010306266117162238
115,2,sorted-desc,union,1000000,0.019786626889033845
116,2,sorted-desc,earlyStopSortMerge,1000000,0.00910602718884979
117,2,sorted-desc,exploding,10000,0.06343398415846037
118,2,sorted-desc,union,10000,0.03156304173134789
119,2,sorted-desc,earlyStopSortMerge,10000,0.029537881709386125
120,2,sorted-asc_bucketed_40,exploding,10000000,0.004729985207007799
121,2,sorted-asc_bucketed_40,union,10000000,0.004247902956026354
122,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.007750531595274053
123,2,sorted-asc_bucketed_40,exploding,100000,0.04622759435053602
124,2,sorted-asc_bucketed_40,union,100000,0.02315310757732185
125,2,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.04557583349339641
126,2,sorted-asc_bucketed_40,exploding,1000000,0.011195772223212738
127,2,sorted-asc_bucketed_40,union,1000000,0.007772962773919362
128,2,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.0060028200922825235
129,2,sorted-asc_bucketed_40,exploding,10000,0.12864402827574747
130,2,sorted-asc_bucketed_40,union,10000,0.04458359894335094
131,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.11331490975150306
132,2,sorted-rand,exploding,10000000,0.004292949295065444
133,2,sorted-rand,union,10000000,0.002489582733178777
134,2,sorted-rand,earlyStopSortMerge,10000000,0.00840348561111568
135,2,sorted-rand,exploding,100000,0.025573457040104487
136,2,sorted-rand,union,100000,0.015844107228246307
137,2,sorted-rand,earlyStopSortMerge,100000,0.015189164626099384
138,2,sorted-rand,exploding,1000000,0.0065299359533305176
139,2,sorted-rand,union,1000000,0.009302929600192597
140,2,sorted-rand,earlyStopSortMerge,1000000,0.008997504459102646
141,2,sorted-rand,exploding,10000,0.055469708414179655
142,2,sorted-rand,union,10000,0.03166210827396851
143,2,sorted-rand,earlyStopSortMerge,10000,0.02978113984856854
144,2,sorted-asc,exploding,10000000,0.0029325117956166408
145,2,sorted-asc,union,10000000,0.003204729794498863
146,2,sorted-asc,earlyStopSortMerge,10000000,0.003540467400858574
147,2,sorted-asc,exploding,100000,0.04409128665802417
148,2,sorted-asc,union,100000,0.03896117438973108
149,2,sorted-asc,earlyStopSortMerge,100000,0.06981358301054945
150,2,sorted-asc,exploding,1000000,0.01082636321024017
151,2,sorted-asc,union,1000000,0.010091685592915574
152,2,sorted-asc,earlyStopSortMerge,1000000,0.01216521901270812
153,2,sorted-asc,exploding,10000,0.4895272468766419
